rep,method,k,n_clusters_found,n_noise,silhouette,davies_bouldin,ARI_language,NMI_language,purity_language,ARI_language_dropNoise,NMI_language_dropNoise,purity_language_dropNoise,ARI_genre,NMI_genre,purity_genre,ARI_genre_dropNoise,NMI_genre_dropNoise,purity_genre_dropNoise
audio_autoencoder_latent,agglomerative_ward,6.0,6,0,0.06736584007740021,1.719880656490977,0.16192008956686027,0.26216238561344574,0.8620689655172413,0.16192008956686027,0.26216238561344574,0.8620689655172413,0.1278711816244376,0.36727623989798924,0.6206896551724138,0.1278711816244376,0.36727623989798924,0.6206896551724138
audio_autoencoder_latent,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
audio_autoencoder_latent,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
audio_autoencoder_latent,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha1_audio+lyrics,kmeans,6.0,6,0,0.008968092501163483,2.5154695499928343,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06277609858172518,0.22752155149478856,0.5517241379310345,0.06277609858172518,0.22752155149478856,0.5517241379310345
hybrid_alpha1_audio+lyrics,agglomerative_ward,6.0,6,0,0.01519041508436203,2.506130867053577,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.13090385998561496,0.3245264865521208,0.6206896551724138,0.13090385998561496,0.3245264865521208,0.6206896551724138
hybrid_alpha1_audio+lyrics,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha1_audio+lyrics,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha1_audio+lyrics,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.3_audio+lyrics,kmeans,6.0,6,0,0.008968095295131207,2.515469541544936,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06277609858172518,0.22752155149478856,0.5517241379310345,0.06277609858172518,0.22752155149478856,0.5517241379310345
hybrid_alpha0.3_audio+lyrics,agglomerative_ward,6.0,6,0,0.015190412290394306,2.5061307917740154,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.13090385998561496,0.3245264865521208,0.6206896551724138,0.13090385998561496,0.3245264865521208,0.6206896551724138
hybrid_alpha0.3_audio+lyrics,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.3_audio+lyrics,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.3_audio+lyrics,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
hybrid_alpha0.1_audio+lyrics,kmeans,6.0,6,0,0.008968092501163483,2.5154695616599896,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06552167309265101,0.18381834526082183,0.7931034482758621,0.06277609858172518,0.22752155149478856,0.5517241379310345,0.06277609858172518,0.22752155149478856,0.5517241379310345
hybrid_alpha0.1_audio+lyrics,agglomerative_ward,6.0,6,0,0.015190422534942627,2.506130795992011,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.07781013395457193,0.19522772675661307,0.7931034482758621,0.13090385998561496,0.3245264865521208,0.6206896551724138,0.13090385998561496,0.3245264865521208,0.6206896551724138
